Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
,1000,Brussels,apartment,Flat,3.900,rent,3,320 m²,No,No,Yes,Yes,No,,Yes,No,
 Molenstraat 44 32 ,3600,Genk,apartment,Flat,750,rent,3,121 m²,No,No,No,,No,,,No,
 Kollegeplein 20 7 ,8530,Harelbeke,apartment,Flat,680,rent,2,86 m²,No,No,Yes,Yes,No,,,No,
,1050,Elsene,apartment,Flat,1.350,rent,2,102 m²,Yes,Yes,No,,No,,No,No,No
 Dehaernestraat 22 1A ,8900,Ieper,apartment,Flat,550,rent,2,86 m²,No,No,No,,No,,,No,
,4920,Aywaille,apartment,Flat,270.000,sale,2,101 m²,No,No,Yes,Yes,No,,Yes,No,No
,4920,Aywaille,apartment,Flat,225.000,sale,2,85 m²,No,No,Yes,Yes,No,,Yes,No,No
,4920,Aywaille,apartment,Flat,260.000,sale,2,84 m²,No,No,Yes,Yes,No,,Yes,No,No
,4920,Aywaille,apartment,Flat,218.000,sale,2,85 m²,No,No,Yes,Yes,No,,Yes,No,No
,4920,Aywaille,apartment,Flat,218.000,sale,2,85 m²,No,No,Yes,Yes,No,,Yes,No,No
,4920,Aywaille,apartment,Flat,225.000,sale,2,84 m²,No,No,Yes,Yes,No,,Yes,No,No
,4920,Aywaille,apartment,Flat,260.000,sale,2,107 m²,No,No,Yes,Yes,No,,Yes,No,No
 Baron Ruzettelaan 411 2-02 ,8310,Assebroek,apartment,Flat,795,rent,2,80 m²,Yes,No,No,,No,,,No,Immediately
 Sint-Michielsstraat 15 2 ,8800,Roeselare,apartment,Flat,650,rent,2,109 m²,No,No,Yes,,No,,,No,
,7330,Saint-Ghislain,apartment,Flat,650,rent,2,80 m²,No,No,No,,No,,No,No,
,5590,Ciney,apartment,Flat,500,rent,1,45 m²,Yes,No,Yes,Yes,No,,,No,
,1030,Schaarbeek,apartment,Flat,800,rent,2,90 m²,Yes,No,No,,No,,,No,
,1060,Sint-Gillis,apartment,Flat,2.500,rent,3,150 m²,Yes,No,Yes,Yes,No,,Yes,No,
,1060,Sint-Gillis,apartment,Flat,2.700,rent,3,150 m²,Yes,No,Yes,Yes,No,,Yes,No,
 Rue Henri Bles 140 31 ,5000,Namur,apartment,Flat,600,rent,1,68 m²,No,Yes,Yes,Yes,No,,Yes,No,No
 Rue Alexandre Markelbach 2 45 ,1030,Schaarbeek,apartment,Flat,1.225,rent,2,75 m²,Yes,No,No,,No,,,No,No
 Kettermuitstraat 39 Bus 1   ,9100,Sint-Niklaas,apartment,Flat,600,rent,2,71 m²,No,No,No,,No,,,No,
,5300,Andenne,apartment,Flat,710,rent,2,103 m²,Yes,Yes,No,,No,,,No,
 Goedendaglaan 51 21 ,8500,Kortrijk,apartment,Flat,675,rent,2,110 m²,Yes,No,No,No,No,,,No,2010
 Moorsemsestraat 6 0003 ,3128,Baal,apartment,Flat,850,rent,2,80 m²,No,No,Yes,Yes,No,,,No,
 Rijksweg 146/1  ,3630,Maasmechelen,apartment,Flat,700,rent,2,,No,No,No,,No,,,No,
 Parkstraat 44  ,3000,Leuven,apartment,Flat,825,rent,2,75 m²,Yes,No,Yes,Yes,No,,Yes,No,1964
,1180,Ukkel,apartment,Ground,1.750,rent,2,151 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Roodebeeklaan 78  ,1030,Schaarbeek,apartment,Flat,675,rent,32 m²,32 m²,Yes,No,Yes,Yes,No,,Yes,No,2007
 Boulevard Joseph Tirou 141  ,6000,Charleroi,apartment,Flat,1.150,rent,3,150 m²,Yes,No,No,,No,,,No,
 Rue des Pigeons 7   ,1000,Brussels,apartment,Flat,800,rent,1,55 m²,No,No,No,,No,,2,No,
 Rue de la Rochette 197  ,4400,Flémalle,apartment,Flat,750,rent,3,136 m²,No,Yes,Yes,,No,,Yes,No,
 Rue de la Rochette 197  ,4400,Flémalle,apartment,Flat,800,rent,2,107 m²,No,Yes,Yes,,No,,Yes,No,
 Rue Rodenbach 145  ,1190,Vorst,apartment,Flat,1.250,rent,3,90 m²,Yes,Yes,Yes,Yes,No,,Yes,No,No
,1601,Ruisbroek,apartment,Flat,600,rent,45 m²,45 m²,No,No,No,,Yes,Yes,,No,
 Vaartstraat 58A  ,9270,Kalken,house,Residence,700,rent,3,189 m²,Yes,No,Yes,,No,,,No,
 Bruggestraat 124 0.3 ,8770,Ingelmunster,apartment,Flat,495,rent,1,,Yes,No,No,,No,,No,No,
 Stijn Streuvelslaan 2  ,2630,Aartselaar,apartment,Flat,795,rent,2,110 m²,Yes,No,Yes,Yes,No,,Yes,No,1978
 Nijverheidstraat 54  ,8400,Oostende,house,Residence,250.000,sale,3,213 m²,Yes,No,No,,No,,No,No,On contract
 Kiliaanstraat 47  ,2570,Duffel,house,Master,284.000,sale,3,,Yes,No,No,,Yes,Yes,Yes,No,1954
 Oude Poperingestraat 2  ,8970,Poperinge,house,Villa,695.000,sale,5,341 m²,No,No,No,,No,,,No,2006
,8430,Middelkerke,house,Residence,215.000,sale,2,190 m²,Yes,No,No,No,No,,No,No,
 rue de Philippeville 182  ,6010,Couillet,house,Residence,119.000,sale,3,120 m²,Yes,No,No,,No,No,No,No,Yes
 Molenbergstraat 98  ,9190,Stekene,house,Residence,270.000,sale,3,133 m²,Yes,Yes,No,,Yes,Yes,Yes,No,1971
 Tuyaertsstraat 7  ,2850,Boom,house,Master,845.000,sale,5,391 m²,Yes,No,No,,No,No,,No,
 Paul Ferrardstraat ZN Lot 8 ,8550,Zwevegem,house,Residence,255.100,sale,3,156 m²,No,No,Yes,,Yes,,,No,
 Rue ernest solvay 217  ,4000,Liege,house,Residence,259.000,sale,3,239 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
,6044,Roux,house,Residence,185.000,sale,3,160 m²,Yes,No,Yes,,Yes,Yes,,No,
 Barakkenstraat 35  ,8930,Menen,house,Residence,75.000,sale,2,95 m²,No,No,No,,No,,No,No,
 Molenmeersenstraat 23  ,8940,Wervik,house,Residence,179.000,sale,3,160 m²,No,Yes,No,,No,,No,No,
,9840,Zevergem,house,Residence,540.000,sale,4,,No,No,No,,No,,,No,
 Nijverheidsweg 12  ,3945,Ham,house,Residence,760,rent,4,116 m²,No,Yes,No,,No,,No,No,No
,6150,Anderlues,house,Residence,950,rent,2,138 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
 François Bernardstraat 66  ,9000,Gent,house,Residence,970,rent,3,100 m²,No,No,Yes,Yes,No,,Yes,No,
,1160,Oudergem,house,Residence,1.500,rent,3,130 m²,Yes,Yes,Yes,,No,,Yes,No,
,1150,Sint-Pieters-Woluwe,house,Residence,3.400,rent,4,250 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Rue de l'Abbaye 3  ,4880,Aubel,house,Residence,910,rent,3,120 m²,No,No,Yes,,Yes,Yes,Yes,No,No
 Everzwijnhoekstraat 10  ,8980,Geluveld,house,Residence,650,rent,3,216 m²,No,Yes,Yes,,Yes,,,No,
 Rue Perlieue 17  ,6880,Orgeo,house,Residence,675,rent,3,211 m²,No,No,Yes,,Yes,,,No,
 Patrijsstraat 9  ,8020,Oostkamp,house,Residence,1.000,rent,3,117 m²,Yes,No,Yes,,Yes,Yes,,No,
 Cartonstraat 45  ,8900,Ieper,house,Residence,690,rent,2,,No,No,Yes,Yes,No,,,No,
 Bloemkoolstraat 21  ,8800,Roeselare,house,Residence,790,rent,3,150 m²,No,No,No,,No,,Yes,No,2020
 des Trois Escabelles 10  ,7130,Binche,house,Residence,670,rent,2,103 m²,Yes,No,No,,No,,Yes,No,
 Jules Missinnelaan 34  ,8810,Lichtervelde,house,Residence,850,rent,3,,No,No,No,,No,,1,No,
 Kalkhoevestraat 63  ,8790,Waregem,house,Villa,950,rent,3,,No,No,No,,No,,,No,
 Groenestraat 61  ,8800,Roeselare,house,Residence,650,rent,3,128 m²,Yes,No,No,,No,,,No,
 Watertorenstraat 68  ,3950,Bocholt,house,Residence,820,rent,3,180 m²,No,No,No,,No,,,No,2020
 Kloosterstraat 4  ,9750,Zingem,house,Residence,595,rent,2,88 m²,No,No,Yes,Yes,No,,Yes,No,
 Rue de l'Auflette 111  ,7033,Cuesmes,house,Residence,630,rent,3,110 m²,Yes,No,No,,No,,,No,
,7012,Flénu,house,Residence,725,rent,3,150 m²,No,No,Yes,Yes,No,,Yes,No,
 Rue des Marchandises 13 0 ,5580,Rochefort,house,Residence,640,rent,3,180 m²,Yes,No,Yes,,Yes,,,No,
,1180,Ukkel,house,Residence,1.490,rent,3,85 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
,1180,Ukkel,house,Villa,7.500,rent,6,420 m²,Yes,No,No,,No,,Yes,No,From 01/12/2020
,1190,Vorst,house,Residence,2.550,rent,4,213 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Keibergstraat 40  ,8820,Torhout,house,Residence,850,rent,4,,Yes,Yes,No,,No,,735 m²,No,
 Kwekersstraat 34  ,8000,Brugge,house,Residence,800,rent,2,100 m²,No,No,No,,No,,Yes,No,
,1150,Sint-Pieters-Woluwe,house,Residence,2.950,rent,4,200 m²,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
,1050,Elsene,house,Residence,5.000,rent,6,475 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,
 Rue Dautzenberg 74  ,1050,Elsene,house,Residence,600,rent,1,12 m²,No,No,Yes,,No,,Yes,No,
 Neremstraat 240 B13 ,3700,Tongeren,apartment,Loft,253.177,sale,2,146 m²,No,Yes,Yes,Yes,No,,Yes,No,
,1180,Ukkel,apartment,Flat,380.000,sale,2,,Yes,No,Yes,Yes,Yes,Yes,,No,On contract
,4100,Boncelles,apartment,Penthouse,301.000,sale,2,94 m²,Yes,No,Yes,Yes,No,,,No,
,4100,Boncelles,apartment,Penthouse,301.000,sale,2,94 m²,Yes,No,Yes,Yes,No,,,No,
 Leopold Deboeckstraat 3  ,1500,Halle,apartment,Flat,309.000,sale,2,99 m²,Yes,No,No,No,No,,,No,2019
 Avenue Charles d'Orjo de Marchovelette 5  ,1160,Oudergem,apartment,Flat,630.000,sale,3,160 m²,No,Yes,Yes,Yes,No,,Yes,No,No
 Rue du Commerce (CH) 1  ,6000,Charleroi,apartment,Flat,110.000,sale,2,,Yes,No,No,,No,,,No,On contract
 Square Georges Marlow 1  ,1180,Ukkel,apartment,Flat,315.000,sale,2,86 m²,Yes,No,No,,No,,,No,1975
 Oscar van Kesbeeckstraat 2  ,2800,Mechelen,apartment,Flat,195.000,sale,2,99 m²,No,No,No,,No,,2,No,
,2018,Antwerp,apartment,Flat,965.000,sale,3,290 m²,Yes,No,No,,No,,,No,On contract
 Rue des Chasseurs Ardennais 5 101 ,6880,Bertrix,apartment,Flat,235.000,sale,2,103 m²,Yes,No,Yes,Yes,No,,,No,
 stationplein 25  ,9470,Denderleeuw,apartment,Loft,220.000,sale,2,78 m²,Yes,No,No,,No,,,No,
 Scheersmolendreef 21 - 23  ,1840,Londerzeel,apartment,Flat,297.500,sale,2,97 m²,No,No,No,,No,,,No,
,9690,Kluisbergen,apartment,Flat,230.000,sale,2,98 m²,Yes,No,Yes,Yes,No,,Yes,No,
 Stationsstraat 72  ,9690,Kluisbergen,apartment,Flat,260.000,sale,2,117 m²,No,No,Yes,Yes,Yes,Yes,,No,
 Stationsstraat 72  ,9690,Kluisbergen,apartment,Flat,270.000,sale,3,103 m²,No,No,Yes,Yes,No,,,No,
 Stationsstraat 72  ,9690,Kluisbergen,apartment,Flat,277.000,sale,3,109 m²,No,No,Yes,Yes,No,,,No,
 Stationsstraat 72  ,9690,Kluisbergen,apartment,Flat,275.000,sale,3,108 m²,Yes,No,Yes,Yes,No,,,No,
 Stationsstraat 72  ,9690,Kluisbergen,apartment,Flat,290.000,sale,3,99 m²,No,No,Yes,Yes,No,,,No,
,1000,Brussels,apartment,Flat,485.000,sale,2,120 m²,Yes,No,Yes,Yes,No,,,No,No
 Lange Lozanastraat 233 3G ,2018,Antwerp,apartment,Flat,97.500,sale,1,50 m²,No,No,Yes,,No,,Yes,No,No
 Rue de la Rochette 197  ,4400,Flémalle,apartment,Duplex,850,rent,2,118 m²,No,Yes,Yes,Yes,No,,Yes,No,
 Middelstraat 2  ,8680,Koekelare,house,Residence,293.710,sale,3,,No,No,No,,No,,Yes,No,
,3530,Houthalen-Helchteren,house,Residence,475.000,sale,4,,No,Yes,No,,No,,No,No,No
 Rue Maximilien Luce 96  ,6010,Couillet,house,Residence,169.000,sale,3,160 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Kasteelstraat 15  ,1730,Mollem,house,Residence,340.000,sale,2,128 m²,Yes,Yes,No,,No,,1108 m²,No,On contract
 Schoolstraat 72  ,1745,Opwijk,house,Residence,599.000,sale,4,312 m²,No,No,No,,No,,52 m,No,1986
 Mandekensstraat 112  ,9200,Baasrode,house,Residence,349.000,sale,3,140 m²,Yes,Yes,No,,No,,70 m²,No,To be agreed
 Langeveldstraat 71  ,1745,Opwijk,house,Residence,438.000,sale,2,185 m²,Yes,No,No,,No,,22 m,No,To be agreed
 Steenweg op Dendermonde 20  ,1745,Opwijk,house,Villa,599.000,sale,3,173 m²,Yes,Yes,No,,No,,163 m²,No,On contract
 Steenweg 156  ,1745,Opwijk,house,Residence,425.000,sale,3,220 m²,Yes,No,No,,No,,152 m²,No,To be agreed
 Schoolstraat 72  ,1745,Opwijk,house,Mixed,599.000,sale,4,312 m²,No,No,No,,No,,52 m,No,1986
 Allée des Hêtres 13  ,6280,Gerpinnes,house,Villa,299.000,sale,3,212 m²,No,Yes,Yes,Yes,No,,Yes,No,No
 Locomotiefstraat 46  ,2800,Mechelen,house,Residence,235.000,sale,4,102 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Rue Eugene Gilles 42  ,6210,Les Bons Villers,house,Residence,349.900,sale,4,270 m²,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
 Izegemseaardeweg 57  ,8800,Roeselare,house,Residence,281.348,sale,3,,No,No,No,,No,,,No,2021
,8000,Brugge,house,Villa,ne,sale,3,325 m²,No,No,No,,No,,,No,
 Kardinaal Cardijnlaan 7  ,8730,Beernem,house,Residence,289.000,sale,3,,No,No,Yes,Yes,No,,Yes,No,1982
,6929,Haut-Fays,house,Residence,550,rent,3,130 m²,Yes,No,No,,Yes,,,No,
 Wagenmakersstraat 34 2 ,8310,Sint-Kruis,apartment,Flat,219.500,sale,2,91 m²,No,Yes,Yes,Yes,No,,Yes,No,
,7170,Bellecourt,house,Residence,310.000,sale,3,110 m²,Yes,Yes,No,,Yes,,Yes,No,On contract
 Delacenseriestraat 22 0102 ,8420,Wenduine,apartment,Flat,675,rent,2,90 m²,Yes,No,No,No,No,,,No,Immediately
 Mechelsesteenweg 520 c 0.2 ,1800,Vilvoorde,apartment,Flat,750,rent,,,No,No,No,,No,,,No,
 Ettingen 13  ,9820,Merelbeke,apartment,Flat,222.725,sale,1,70 m²,No,No,Yes,Yes,No,,Yes,No,
 Groendreef 54  ,9000,Gent,apartment,Flat,185.000,sale,1,45 m²,Yes,No,No,,No,,,No,
 Rue Sainte-Anne 64  ,1420,Braine-l'Alleud,apartment,Flat,250.000,sale,3,154 m²,Yes,No,Yes,Yes,No,,Yes,No,1900
 Warellesgoed 10  ,8800,Rumbeke,apartment,Flat,ne,sale,2,123 m²,No,No,Yes,Yes,No,,Yes,No,2020
 Hogeweg 165  ,9000,Gent,apartment,Flat,259.523,sale,1,71 m²,No,No,No,,No,,4,No,2021
 Stationssteenweg 1D  ,2560,Kessel,apartment,Flat,215.000,sale,2,82 m²,Yes,No,No,,No,,Yes,No,1974
 Albert I-promenade 25  ,8400,Oostende,apartment,Flat,575.000,sale,2,83 m²,No,No,Yes,Yes,No,,Yes,No,
 Van Monsstraat 1 3V ,8370,Blankenberge,apartment,Flat,155.000,sale,2,90 m²,No,No,No,,No,,,No,
,7340,Pâturages,house,Residence,550,rent,2,,Yes,No,Yes,,No,,Yes,No,
,1180,Ukkel,house,Villa,3.900,rent,5,400 m²,No,No,Yes,Yes,No,,Yes,No,
 Passendalestraat 1  ,8980,Zonnebeke,house,Residence,2.500,rent,3,,No,No,No,,No,,,No,1961
,5000,Namur,house,Residence,680,rent,2,80 m²,No,No,Yes,,No,,Yes,No,
 Rue des Bruyeres 110 b ,7034,Obourg,house,Residence,1.600,rent,4,180 m²,No,Yes,Yes,,No,,Yes,No,No
 Eksterdreef 2  ,3140,Keerbergen,house,Villa,1.800,rent,4,250 m²,No,No,No,,No,,Yes,No,2019
 Gasmeterstraat 24 B 2 ,9990,Maldegem,house,Residence,700,rent,3,,Yes,No,No,,No,,No,No,
 Ankerstraat   ,1120,Neder-Over-Heembeek,apartment,Flat,245.900,sale,2,85 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Ankerstraat   ,1120,Neder-Over-Heembeek,apartment,Flat,235.900,sale,2,85 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Ankerstraat   ,1120,Neder-Over-Heembeek,apartment,Flat,245.900,sale,2,86 m²,Yes,No,Yes,Yes,No,,Yes,No,No
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
,,,apartment,Flat,ne,sale,,,No,No,No,,No,,,No,
Address,Post Code,City,Type of property,Property Subtype,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Terrace,Terrace Area,Garden,Garden Area,Number of facades,Swimming pool,State of the building
 Gentsesteenweg 58  ,8530,Harelbeke,house,Residence,185.000,sale,2,133 m²,No,No,No,,No,,,No,
 Veldstraat 22  ,8020,Oostkamp,house,Residence,950,rent,4,,Yes,No,No,,No,,No,No,From 01/04/2021
 J. en M. Sabbestraat 131  ,8930,Menen,house,Residence,242.000,sale,5,216 m²,No,No,No,,No,,No,No,On contract
 Bremstraat 37  ,2340,Beerse,house,Residence,250.000,sale,3,119 m²,No,No,Yes,,No,,Yes,No,No
 Bulskampstraat 66  ,8630,Veurne,house,Residence,229.000,sale,4,166 m²,No,No,Yes,,Yes,,,No,
 Rapaertstraat   ,8020,Hertsberge,house,Residence,378.500,sale,5,210 m²,Yes,No,No,,Yes,,,No,2021
,1420,Braine-l'Alleud,house,Villa,2.850.000,sale,6,900 m²,Yes,No,No,,No,,No,No,1993
 Sint-Andrieshof 46  ,8970,Poperinge,house,Villa,695.000,sale,6,329 m²,No,No,No,,No,,,No,2006
,5100,Jambes,house,Residence,219.000,sale,2,90 m²,Yes,Yes,Yes,Yes,No,,,No,On contract
 Hoogplaatsstraat 49  ,8510,Kooigem,house,Residence,330.000,sale,3,,No,No,No,,No,,,No,2013
 Kardinaal Cardijnstraat 10  ,2840,Rumst,house,Mixed,539.000,sale,5,185 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Schaperijstraat 51  ,9900,Eeklo,house,Residence,115.000,sale,2,115 m²,Yes,No,No,,Yes,Yes,,No,Immediately
,6040,Jumet,house,Villa,330.000,sale,3,,No,Yes,Yes,,No,,Yes,Yes,
 Rue des Bouillons 81  ,6060,Gilly,house,Residence,259.000,sale,3,135 m²,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
 Rue de Hollogne 141  ,4101,Jemeppe,house,Residence,120.000,sale,4,147 m²,No,No,Yes,,No,,Yes,No,
 Verwerijstraat 16  ,8800,Roeselare,house,Residence,169.000,sale,5,,No,No,No,,No,,No,No,
 Roeselaarsestraat 47  ,8501,Heule,house,Residence,179.000,sale,2,106 m²,No,No,No,,No,,,No,
 Albert I laan 68 102 ,8620,Nieuwpoort,apartment,Flat,490.000,sale,2,97 m²,No,No,Yes,Yes,No,,Yes,No,2019
,,,house,Residence,ne,rent,,,No,No,No,,No,,,No,
 Sint-Pauluslaan 81  ,3080,Tervuren,house,Villa,2.100,rent,3,170 m²,No,No,Yes,Yes,Yes,Yes,Yes,No,
 Vlietehof 1  ,8531,Hulste,house,Residence,950,rent,3,153 m²,Yes,Yes,No,No,No,No,No,No,2018
,6220,Fleurus,house,Residence,495,rent,2,,Yes,No,Yes,,No,,Yes,No,
 Oogstweg 1  ,8610,Kortemark,house,Residence,795,rent,3,,Yes,Yes,No,,No,,No,No,
 Stationssteenweg 1D  ,2560,Kessel,apartment,Flat,215.000,sale,2,82 m²,Yes,No,No,,No,,Yes,No,1974
,5020,Vedrin,house,Residence,1.025,rent,3,120 m²,Yes,No,Yes,Yes,No,,Yes,No,No
 Stationsstraat 67  ,8540,Deerlijk,house,Residence,590,rent,2,125 m²,No,No,Yes,Yes,No,,Yes,No,
